,Crop,N,P,K,pH
850,rice,80,40,40,5.4
851,rice,80,40,40,5.38
852,rice,80,40,40,5.36
853,rice,80,40,40,5.34
854,rice,80,40,40,5.32
855,maize,80,40,20,5.5
856,maize,80,40,20,5.52
857,maize,80,40,20,5.54
858,maize,80,40,20,5.56
859,maize,80,40,20,5.58
860,maize,80,40,20,5.6
861,maize,80,40,20,5.62
862,maize,80,40,20,5.64
863,maize,80,40,20,5.66
864,maize,80,40,20,5.68
865,maize,80,40,20,5.48
866,maize,80,40,20,5.46
867,maize,80,40,20,5.44
868,maize,80,40,20,5.42
869,maize,80,40,20,5.4
870,maize,80,40,20,5.38
871,maize,80,40,20,5.36
872,maize,80,40,20,5.34
873,maize,80,40,20,5.32
874,chickpea,40,60,80,5.5
875,chickpea,40,60,80,5.52
876,chickpea,40,60,80,5.54
877,chickpea,40,60,80,5.56
878,chickpea,40,60,80,5.58
879,chickpea,40,60,80,5.6
880,chickpea,40,60,80,5.62
881,chickpea,40,60,80,5.64
882,chickpea,40,60,80,5.66
883,chickpea,40,60,80,5.68
884,chickpea,40,60,80,5.48
885,chickpea,40,60,80,5.46
886,chickpea,40,60,80,5.44
887,chickpea,40,60,80,5.42
888,chickpea,40,60,80,5.4
889,chickpea,40,60,80,5.38
890,chickpea,40,60,80,5.36
891,chickpea,40,60,80,5.34
892,chickpea,40,60,80,5.32
893,kidneybeans,20,60,20,5.5
894,kidneybeans,20,60,20,5.52
895,kidneybeans,20,60,20,5.54
896,kidneybeans,20,60,20,5.56
897,kidneybeans,20,60,20,5.58
898,kidneybeans,20,60,20,5.6
899,kidneybeans,20,60,20,5.62
900,kidneybeans,20,60,20,5.64
901,kidneybeans,20,60,20,5.66
902,kidneybeans,20,60,20,5.68
903,kidneybeans,20,60,20,5.48
904,kidneybeans,20,60,20,5.46
905,kidneybeans,20,60,20,5.44
906,kidneybeans,20,60,20,5.42
907,kidneybeans,20,60,20,5.4
908,kidneybeans,20,60,20,5.38
909,kidneybeans,20,60,20,5.36
910,kidneybeans,20,60,20,5.34
911,kidneybeans,20,60,20,5.32
912,pigeonpeas,20,60,20,5.5
913,pigeonpeas,20,60,20,5.52
914,pigeonpeas,20,60,20,5.54
915,pigeonpeas,20,60,20,5.56
916,pigeonpeas,20,60,20,5.58
917,pigeonpeas,20,60,20,5.6
918,pigeonpeas,20,60,20,5.62
919,pigeonpeas,20,60,20,5.64
920,pigeonpeas,20,60,20,5.66
921,pigeonpeas,20,60,20,5.68
922,pigeonpeas,20,60,20,5.48
923,pigeonpeas,20,60,20,5.46
924,pigeonpeas,20,60,20,5.44
925,pigeonpeas,20,60,20,5.42
926,pigeonpeas,20,60,20,5.4
927,pigeonpeas,20,60,20,5.38
928,pigeonpeas,20,60,20,5.36
929,pigeonpeas,20,60,20,5.34
930,pigeonpeas,20,60,20,5.32
931,mothbeans,20,40,20,5.5
932,mothbeans,20,40,20,5.52
933,mothbeans,20,40,20,5.54
934,mothbeans,20,40,20,5.56
935,mothbeans,20,40,20,5.58
936,mothbeans,20,40,20,5.6
937,mothbeans,20,40,20,5.62
938,mothbeans,20,40,20,5.64
939,mothbeans,20,40,20,5.66
940,mothbeans,20,40,20,5.68
941,mothbeans,20,40,20,5.48
942,mothbeans,20,40,20,5.46
943,mothbeans,20,40,20,5.44
944,mothbeans,20,40,20,5.42
945,mothbeans,20,40,20,5.4
946,mothbeans,20,40,20,5.38
947,mothbeans,20,40,20,5.36
948,mothbeans,20,40,20,5.34
949,mothbeans,20,40,20,5.32
950,mungbean,20,40,20,5.5
951,mungbean,20,40,20,5.52
952,mungbean,20,40,20,5.54
953,mungbean,20,40,20,5.56
954,mungbean,20,40,20,5.58
955,mungbean,20,40,20,5.6
956,mungbean,20,40,20,5.62
957,mungbean,20,40,20,5.64
958,mungbean,20,40,20,5.66
959,mungbean,20,40,20,5.68
960,mungbean,20,40,20,5.48
961,mungbean,20,40,20,5.46
962,mungbean,20,40,20,5.44
963,mungbean,20,40,20,5.42
964,mungbean,20,40,20,5.4
965,mungbean,20,40,20,5.38
966,mungbean,20,40,20,5.36
967,mungbean,20,40,20,5.34
968,mungbean,20,40,20,5.32
969,blackgram,40,60,20,5.0
970,blackgram,40,60,20,5.02
971,blackgram,40,60,20,5.04
972,blackgram,40,60,20,5.06
973,blackgram,40,60,20,5.08
974,blackgram,40,60,20,5.1
975,blackgram,40,60,20,5.12
976,blackgram,40,60,20,5.14
977,blackgram,40,60,20,5.16
978,blackgram,40,60,20,5.18
979,blackgram,40,60,20,4.98
980,blackgram,40,60,20,4.96
981,blackgram,40,60,20,4.94
982,blackgram,40,60,20,4.92
983,blackgram,40,60,20,4.9
984,blackgram,40,60,20,4.88
985,blackgram,40,60,20,4.86
986,blackgram,40,60,20,4.84
987,blackgram,40,60,20,4.82
988,lentil,20,60,20,5.5
989,lentil,20,60,20,5.52
990,lentil,20,60,20,5.54
991,lentil,20,60,20,5.56
992,lentil,20,60,20,5.58
993,lentil,20,60,20,5.6
994,lentil,20,60,20,5.62
995,lentil,20,60,20,5.64
996,lentil,20,60,20,5.66
997,lentil,20,60,20,5.68
998,lentil,20,60,20,5.48
999,lentil,20,60,20,5.46
1000,lentil,20,60,20,5.44
1001,lentil,20,60,20,5.42
1002,lentil,20,60,20,5.4
1003,lentil,20,60,20,5.38
1004,lentil,20,60,20,5.36
1005,lentil,20,60,20,5.34
1006,lentil,20,60,20,5.32
1007,pomegranate,20,10,40,5.5
1008,pomegranate,20,10,40,5.52
1009,pomegranate,20,10,40,5.54
1010,pomegranate,20,10,40,5.56
1011,pomegranate,20,10,40,5.58
1012,pomegranate,20,10,40,5.6
1013,pomegranate,20,10,40,5.62
1014,pomegranate,20,10,40,5.64
1015,pomegranate,20,10,40,5.66
1016,pomegranate,20,10,40,5.68
1017,pomegranate,20,10,40,5.48
1018,pomegranate,20,10,40,5.46
1019,pomegranate,20,10,40,5.44
1020,pomegranate,20,10,40,5.42
1021,pomegranate,20,10,40,5.4
1022,pomegranate,20,10,40,5.38
1023,pomegranate,20,10,40,5.36
1024,pomegranate,20,10,40,5.34
1025,pomegranate,20,10,40,5.32
1026,banana,100,75,50,6.5
1027,banana,100,75,50,6.52
1028,banana,100,75,50,6.54
1029,banana,100,75,50,6.56
1030,banana,100,75,50,6.58
1031,banana,100,75,50,6.6
1032,banana,100,75,50,6.62
1033,banana,100,75,50,6.64
1034,banana,100,75,50,6.66
1035,banana,100,75,50,6.68
1036,banana,100,75,50,6.48
1037,banana,100,75,50,6.46
1038,banana,100,75,50,6.44
1039,banana,100,75,50,6.42
1040,banana,100,75,50,6.4
1041,banana,100,75,50,6.38
1042,banana,100,75,50,6.36
1043,banana,100,75,50,6.34
1044,banana,100,75,50,6.32
1045,mango,20,20,30,5.0
1046,mango,20,20,30,5.02
1047,mango,20,20,30,5.04
1048,mango,20,20,30,5.06
1049,mango,20,20,30,5.08
1050,mango,20,20,30,5.1
1051,mango,20,20,30,5.12
1052,mango,20,20,30,5.14
1053,mango,20,20,30,5.16
1054,mango,20,20,30,5.18
1055,mango,20,20,30,4.98
1056,mango,20,20,30,4.96
1057,mango,20,20,30,4.94
1058,mango,20,20,30,4.92
1059,mango,20,20,30,4.9
1060,mango,20,20,30,4.88
1061,mango,20,20,30,4.86
1062,mango,20,20,30,4.84
1063,mango,20,20,30,4.82
1064,grapes,20,125,200,4.0
1065,grapes,20,125,200,4.02
1066,grapes,20,125,200,4.04
1067,grapes,20,125,200,4.06
1068,grapes,20,125,200,4.08
1069,grapes,20,125,200,4.1
1070,grapes,20,125,200,4.12
1071,grapes,20,125,200,4.14
1072,grapes,20,125,200,4.16
1073,grapes,20,125,200,4.18
1074,grapes,20,125,200,3.98
1075,grapes,20,125,200,3.96
1076,grapes,20,125,200,3.94
1077,grapes,20,125,200,3.92
1078,grapes,20,125,200,3.9
1079,grapes,20,125,200,3.88
1080,grapes,20,125,200,3.86
1081,grapes,20,125,200,3.84
1082,grapes,20,125,200,3.82
1083,watermelon,100,10,50,5.5
1084,watermelon,100,10,50,5.52
1085,watermelon,100,10,50,5.54
1086,watermelon,100,10,50,5.56
1087,watermelon,100,10,50,5.58
1088,watermelon,100,10,50,5.6
1089,watermelon,100,10,50,5.62
1090,watermelon,100,10,50,5.64
1091,watermelon,100,10,50,5.66
1092,watermelon,100,10,50,5.68
1093,watermelon,100,10,50,5.48
1094,watermelon,100,10,50,5.46
1095,watermelon,100,10,50,5.44
1096,watermelon,100,10,50,5.42
1097,watermelon,100,10,50,5.4
1098,watermelon,100,10,50,5.38
1099,watermelon,100,10,50,5.36
1100,watermelon,100,10,50,5.34
1101,watermelon,100,10,50,5.32
1102,muskmelon,100,10,50,5.5
1103,muskmelon,100,10,50,5.52
1104,muskmelon,100,10,50,5.54
1105,muskmelon,100,10,50,5.56
1106,muskmelon,100,10,50,5.58
1107,muskmelon,100,10,50,5.6
1108,muskmelon,100,10,50,5.62
1109,muskmelon,100,10,50,5.64
1110,muskmelon,100,10,50,5.66
1111,muskmelon,100,10,50,5.68
1112,muskmelon,100,10,50,5.48
1113,muskmelon,100,10,50,5.46
1114,muskmelon,100,10,50,5.44
1115,muskmelon,100,10,50,5.42
1116,muskmelon,100,10,50,5.4
1117,muskmelon,100,10,50,5.38
1118,muskmelon,100,10,50,5.36
1119,muskmelon,100,10,50,5.34
1120,muskmelon,100,10,50,5.32
1121,apple,20,125,200,6.5
1122,apple,20,125,200,6.52
1123,apple,20,125,200,6.54
1124,apple,20,125,200,6.56
1125,apple,20,125,200,6.58
1126,apple,20,125,200,6.6
1127,apple,20,125,200,6.62
1128,apple,20,125,200,6.64
1129,apple,20,125,200,6.66
1130,apple,20,125,200,6.68
1131,apple,20,125,200,6.48
1132,apple,20,125,200,6.46
1133,apple,20,125,200,6.44
1134,apple,20,125,200,6.42
1135,apple,20,125,200,6.4
1136,apple,20,125,200,6.38
1137,apple,20,125,200,6.36
1138,apple,20,125,200,6.34
1139,apple,20,125,200,6.32
1140,orange,20,10,10,4.0
1141,orange,20,10,10,4.02
1142,orange,20,10,10,4.04
1143,orange,20,10,10,4.06
1144,orange,20,10,10,4.08
1145,orange,20,10,10,4.1
1146,orange,20,10,10,4.12
1147,orange,20,10,10,4.14
1148,orange,20,10,10,4.16
1149,orange,20,10,10,4.18
1150,orange,20,10,10,3.98
1151,orange,20,10,10,3.96
1152,orange,20,10,10,3.94
1153,orange,20,10,10,3.92
1154,orange,20,10,10,3.9
1155,orange,20,10,10,3.88
1156,orange,20,10,10,3.86
1157,orange,20,10,10,3.84
1158,orange,20,10,10,3.82
1159,papaya,50,50,50,6.0
1160,papaya,50,50,50,6.02
1161,papaya,50,50,50,6.04
1162,papaya,50,50,50,6.06
1163,papaya,50,50,50,6.08
1164,papaya,50,50,50,6.1
1165,papaya,50,50,50,6.12
1166,papaya,50,50,50,6.14
1167,papaya,50,50,50,6.16
1168,papaya,50,50,50,6.18
1169,papaya,50,50,50,5.98
1170,papaya,50,50,50,5.96
1171,papaya,50,50,50,5.94
1172,papaya,50,50,50,5.92
1173,papaya,50,50,50,5.9
1174,papaya,50,50,50,5.88
1175,papaya,50,50,50,5.86
1176,papaya,50,50,50,5.84
1177,papaya,50,50,50,5.82
1178,coconut,20,10,30,5.0
1179,coconut,20,10,30,5.02
1180,coconut,20,10,30,5.04
1181,coconut,20,10,30,5.06
1182,coconut,20,10,30,5.08
1183,coconut,20,10,30,5.1
1184,coconut,20,10,30,5.12
1185,coconut,20,10,30,5.14
1186,coconut,20,10,30,5.16
1187,coconut,20,10,30,5.18
1188,coconut,20,10,30,4.98
1189,coconut,20,10,30,4.96
1190,coconut,20,10,30,4.94
1191,coconut,20,10,30,4.92
1192,coconut,20,10,30,4.9
1193,coconut,20,10,30,4.88
1194,coconut,20,10,30,4.86
1195,coconut,20,10,30,4.84
1196,coconut,20,10,30,4.82
1197,cotton,120,40,20,5.5
1198,cotton,120,40,20,5.52
1199,cotton,120,40,20,5.54
1200,cotton,120,40,20,5.56
1201,cotton,120,40,20,5.58
1202,cotton,120,40,20,5.6
1203,cotton,120,40,20,5.62
1204,cotton,120,40,20,5.64
1205,cotton,120,40,20,5.66
1206,cotton,120,40,20,5.68
1207,cotton,120,40,20,5.48
1208,cotton,120,40,20,5.46
1209,cotton,120,40,20,5.44
1210,cotton,120,40,20,5.42
1211,cotton,120,40,20,5.4
1212,cotton,120,40,20,5.38
1213,cotton,120,40,20,5.36
1214,cotton,120,40,20,5.34
1215,cotton,120,40,20,5.32
1216,jute,80,40,40,5.5
1217,jute,80,40,40,5.52
1218,jute,80,40,40,5.54
1219,jute,80,40,40,5.56
1220,jute,80,40,40,5.58
1221,jute,80,40,40,5.6
1222,jute,80,40,40,5.62
1223,jute,80,40,40,5.64
1224,jute,80,40,40,5.66
1225,jute,80,40,40,5.68
1226,jute,80,40,40,5.48
1227,jute,80,40,40,5.46
1228,jute,80,40,40,5.44
1229,jute,80,40,40,5.42
1230,jute,80,40,40,5.4
1231,jute,80,40,40,5.38
1232,jute,80,40,40,5.36
1233,jute,80,40,40,5.34
1234,jute,80,40,40,5.32
1235,coffee,100,20,30,5.5
1236,coffee,100,20,30,5.52
1237,coffee,100,20,30,5.54
1238,coffee,100,20,30,5.56
1239,coffee,100,20,30,5.58
1240,coffee,100,20,30,5.6
1241,coffee,100,20,30,5.62
1242,coffee,100,20,30,5.64
1243,coffee,100,20,30,5.66
1244,coffee,100,20,30,5.68
1245,coffee,100,20,30,5.48
1246,coffee,100,20,30,5.46
1247,coffee,100,20,30,5.44
1248,coffee,100,20,30,5.42
1249,coffee,100,20,30,5.4
1250,coffee,100,20,30,5.38
1251,coffee,100,20,30,5.36
1252,coffee,100,20,30,5.34
1253,coffee,100,20,30,5.32
